k,n,id,orders,generator,P,P_coe,E,E_coe,H,H_coe,Element,gen_coe,hyouji,orders2
28,20,4,2.0,E^2F_{2},,,"[O2] Prop4.5(14), \ \Delta({\eta_{41}}{\varepsilon_{42}})\equiv{E^{2}F_{2}} \mod{\varepsilon_{20}}{\bar{\kappa}_{28}}",0 0 0 0 0 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,149,0 0 0 0 1 0 0 0 0 0 0 0,E^2F_{2},2.0
28,20,5,2.0,\epsilon20\bar{\kappa}28,,,,0 0 0 1 0 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,10 56,0 0 0 0 0 1 0 0 0 0 0 0,\epsilon20\bar{\kappa}28,2.0
28,21,0,2.0,E A_{2}^{(1)},,,"[O2] Prop3.2(7), \ {E^2A_{2}^{(1)}}\in\{8{\Delta(\sigma_{45})}\}",8 0 0 0 0 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,151,1 0 0 0 0 0 0 0 0 0 0 0,E A_{2}^{(1)},2.0
28,21,1,2.0,E A_{2}\epsilon41,,,"[O2] Prop4.5(15), \ \Delta({\varepsilon_{43}})={EA_{2}}{\varepsilon_{41}}",0 0 0 0 0 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,141 10,0 1 0 0 0 0 0 0 0 0 0 0,E A_{2}\epsilon41,2.0
28,21,2,2.0,E A_{2}\eta41\sigma42,,,"[O2] Prop4.5(15), \ \Delta({\varepsilon_{43}})={EA_{2}}{\varepsilon_{41}}; \ \Delta(\eta_{43}\sigma_{44})={EA_{2}}{\eta_{41}}{\sigma_{42}}",0 0 0 0 0 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,141 2 9,0 0 1 0 0 0 0 0 0 0 0 0,E A_{2}\eta41\sigma42,2.0
28,21,3,2.0,\epsilon21\bar{\kappa}29,,,,0 1 0 0 0 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,10 56,0 0 0 1 0 0 0 0 0 0 0 0,\epsilon21\bar{\kappa}29,2.0
28,22,0,16.0,\Delta(\sigma45),,,,0 0 0 0 0 0 0 0 0 0 0 0,"[O2] Prop4.2(7), \ H({\Delta(\sigma_{45})})=\pm2{\sigma_{43}}",2 0 0 0 0 0 0 0 0 0 0 0,152,1 0 0 0 0 0 0 0 0 0 0 0,\Delta(\sigma45),16.0
28,22,1,2.0,\epsilon22\bar{\kappa}30,,,,1 0 0 0 0 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,10 56,0 1 0 0 0 0 0 0 0 0 0 0,\epsilon22\bar{\kappa}30,2.0
28,23,0,2.0,\epsilon23\bar{\kappa}31,,,,1 0 0 0 0 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,10 56,1 0 0 0 0 0 0 0 0 0 0 0,\epsilon23\bar{\kappa}31,2.0
28,24,0,2.0,\epsilon24\bar{\kappa}32,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,10 56,1 0 0 0 0 0 0 0 0 0 0 0,\epsilon24\bar{\kappa}32,2.0
28,25,0,2.0,\epsilon25\bar{\kappa}33,,,,0 1 0 0 0 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,10 56,1 0 0 0 0 0 0 0 0 0 0 0,\epsilon25\bar{\kappa}33,2.0
28,26,0,4.0,\Delta(\nu53),,,,0 0 0 0 0 0 0 0 0 0 0 0,"[O2] Prop4.2(7), \ H({\Delta(\nu_{53})})=\pm2{\nu_{51}}",2 0 0 0 0 0 0 0 0 0 0 0,153,1 0 0 0 0 0 0 0 0 0 0 0,\Delta(\nu53),4.0
28,26,1,2.0,\epsilon26\bar{\kappa}34,,,,0 1 0 0 0 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,10 56,0 1 0 0 0 0 0 0 0 0 0 0,\epsilon26\bar{\kappa}34,2.0
28,27,0,2.0,C_{3},,,,0 1 0 0 0 0 0 0 0 0 0 0,"[O2] Prop3.2(6), \ H({C_{3}})={\eta_{53}^{2}}",1 0 0 0 0 0 0 0 0 0 0 0,154,1 0 0 0 0 0 0 0 0 0 0 0,C_{3},2.0
28,27,1,2.0,\epsilon27\bar{\kappa}35,,,,0 0 1 0 0 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,10 56,0 1 0 0 0 0 0 0 0 0 0 0,\epsilon27\bar{\kappa}35,2.0
28,28,0,2.0,A_{3},,,,1 0 0 0 0 0 0 0 0 0 0 0,"[O2] Prop3.2(6), \ H({A_{3}})={\eta_{55}}",1 0 0 0 0 0 0 0 0 0 0 0,155,1 0 0 0 0 0 0 0 0 0 0 0,A_{3},2.0
28,28,1,2.0,E C_{3},,,"[O2] Prop4.5(18), \ \Delta({\eta_{57}})={EC_{3}}",0 0 0 0 0 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,154,0 1 0 0 0 0 0 0 0 0 0 0,E C_{3},2.0
28,28,2,2.0,\epsilon28\bar{\kappa}36,,,,0 1 0 0 0 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,10 56,0 0 1 0 0 0 0 0 0 0 0 0,\epsilon28\bar{\kappa}36,2.0
28,29,0,2.0,E A_{3},,,"[O2] Prop4.5(18), \ \Delta({\iota_{59}})={EA_{3}}",0 0 0 0 0 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,155,1 0 0 0 0 0 0 0 0 0 0 0,E A_{3},2.0
28,29,1,2.0,\epsilon29\bar{\kappa}37,,,,1 0 0 0 0 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,10 56,0 1 0 0 0 0 0 0 0 0 0 0,\epsilon29\bar{\kappa}37,2.0
28,30,0,2.0,\epsilon30\bar{\kappa}38,,,,,,0 0 0 0 0 0 0 0 0 0 0 0,10 56,1 0 0 0 0 0 0 0 0 0 0 0,\epsilon30\bar{\kappa}38,2.0
28,,,,,,,,,,,,,,
29,2,0,2.0,\eta2\nu'\eta6\bar{\mu}7\sigma24,,,"[O2] Prop4.6(1), \ \Delta({\nu_{5}}{\eta_{8}}{\bar{\mu}_{9}}{\sigma_{26}})={\eta_{2}}{\nu'}{\eta_{6}}{\bar{\mu}_{7}}{\sigma_{24}}",0 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,2 3 2 38 9,1 0 0 0 0 0 0 0 0 0 0 0,\eta2\nu'\eta6\bar{\mu}7\sigma24,2.0
29,2,1,2.0,"\eta2\nu'\mu3,6",,,"[O2] Prop4.6(1), \ \Delta({\nu_{5}}{\mu_{3,8} })={\eta_{2}}{\nu'}{\mu_{3,6} }",0 0 0 0 0 0 0 0 0 0 0 0,,0 1 0 0 0 0 0 0 0 0 0 0,2 3 103,0 1 0 0 0 0 0 0 0 0 0 0,"\eta2\nu'\mu3,6",2.0
29,2,2,2.0,\eta2\phi'\nu28,,,"[O2] (6.8), \ \Delta({\nu_{5}}{E\phi'''})\equiv{\eta_{2}}{\phi'}{\nu_{28}}\mod{\eta_{2}}{\nu'}{\eta_{6}}{\bar{\mu}_{7}}{\sigma_{24}},{\eta_{2}}{\nu'}{\mu_{3,6} }",0 0 0 0 0 0 0 0 0 0 0 0,,0 0 1 0 0 0 0 0 0 0 0 0,2 102 4,0 0 1 0 0 0 0 0 0 0 0 0,\eta2\phi'\nu28,2.0
29,2,3,2.0,\eta2\epsilon3\bar{\kappa}11,,,,0 0 1 0 0 0 0 0 0 0 0 0,,0 0 0 1 0 0 0 0 0 0 0 0,2 10 56,0 0 0 1 0 0 0 0 0 0 0 0,\eta2\epsilon3\bar{\kappa}11,2.0
29,3,0,2.0,\bar{\alpha}\nu26^2,,,,0 0 0 0 0 0 0 1 0 0 0 0,"[O2] Prop4.3(1), \ H({\bar{\alpha}}{\nu_{26}^{2}})\equiv{\sigma'''}{\bar{\kappa}_{12}} \mod{\nu_{5}}{\bar{\sigma}{'}_{8}}, {\nu_{5}}{\bar{\mu}_{8}}{\sigma_{25}}, {\nu_{5}}{\delta_{8}}",1 0 0 0 0 0 0 0 0 0 0 0,74 4 4,1 0 0 0 0 0 0 0 0 0 0 0,\bar{\alpha}\nu26^2,2.0
29,3,1,2.0,"\nu'\eta6\mu3,7",,,,0 0 0 0 0 0 0 0 1 0 0 0,"[O2] Prop4.3(1), \ H({\nu'}{\eta_{6}}{\mu_{3,7} })=4{\zeta_{3,5} }",0 0 0 0 4 0 0 0 0 0 0 0,3 2 103,0 1 0 0 0 0 0 0 0 0 0 0,"\nu'\eta6\mu3,7",2.0
29,3,2,2.0,\eta3\epsilon4\bar{\kappa}12,,,,0 0 0 0 0 0 0 0 0 1 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,2 10 56,0 0 1 0 0 0 0 0 0 0 0 0,\eta3\epsilon4\bar{\kappa}12,2.0
29,4,0,2.0,\nu4\sigma'\omega14\nu30,,,"[O2] Prop4.6(2), \ \Delta({\sigma_{9}}{\omega_{16}}{\nu_{32}})\equiv{\nu_{4}}{\sigma'}{\omega_{14}}{\nu_{30}} \mod E\pi_{32}^3",0 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,4 8 34 4,1 0 0 0 0 0 0 0 0 0 0 0,\nu4\sigma'\omega14\nu30,2.0
29,4,1,2.0,\nu4\bar{\kappa}7\nu27^2,,,,0 1 0 0 0 0 0 0 0 0 0 0,,0 1 0 0 0 0 0 0 0 0 0 0,4 56 4 4,0 1 0 0 0 0 0 0 0 0 0 0,\nu4\bar{\kappa}7\nu27^2,2.0
29,4,2,2.0,\nu4\bar{\sigma}7\sigma26,,,,0 0 1 0 0 0 0 0 0 0 0 0,,0 0 1 0 0 0 0 0 0 0 0 0,4 51 9,0 0 1 0 0 0 0 0 0 0 0 0,\nu4\bar{\sigma}7\sigma26,2.0
29,4,3,8.0,\nu4\bar{\zeta}7\sigma26,,,"[O2] Prop4.6(2), \ \Delta({\sigma_{9}}{\bar{\zeta}_{16}})\equiv{\nu_{4}}{\bar{\zeta}_{7}}{\sigma_{26}} \mod 2{\nu_{4}}{\bar{\zeta}_{7}}{\sigma_{26}}",0 0 0 0 0 0 0 0 0 0 0 0,,0 0 0 1 0 0 0 0 0 0 0 0,4 50 9,0 0 0 1 0 0 0 0 0 0 0 0,\nu4\bar{\zeta}7\sigma26,8.0
29,4,4,2.0,\nu4\phi7\nu30,,,"[O2] Prop4.6(2), \ \Delta({\sigma_{9}}{\bar{\sigma}_{16}})={\nu_{4}}{\phi_{7}}{\nu_{30}}",0 0 0 0 0 0 0 0 0 0 0 0,,0 0 0 0 1 0 0 0 0 0 0 0,4 76 4,0 0 0 0 1 0 0 0 0 0 0 0,\nu4\phi7\nu30,2.0
29,4,5,2.0,\nu4^3\bar{\kappa}13,,,,0 0 0 1 0 0 0 0 0 0 0 0,,0 0 0 0 0 1 0 0 0 0 0 0,4 4 4 56,0 0 0 0 0 1 0 0 0 0 0 0,\nu4^3\bar{\kappa}13,2.0
29,4,6,2.0,"\nu4\eta7\mu3,8",,,,0 0 0 0 1 0 0 0 0 0 0 0,,0 0 0 0 0 0 1 0 0 0 0 0,4 2 103,0 0 0 0 0 0 1 0 0 0 0 0,"\nu4\eta7\mu3,8",2.0
29,4,7,2.0,E \bar{\alpha}\nu27^2,,,"[O2] Prop4.6(2), \ \Delta({\bar{\kappa}_{9}}{\nu_{29}^{2}})={E\bar{\alpha}}{\nu_{27}^{2}}",0 0 0 0 0 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,74 4 4,0 0 0 0 0 0 0 1 0 0 0 0,E \bar{\alpha}\nu27^2,2.0
