id,display,kinds,k,n,orders,latex,stable,stable_orders
144,\Delta(\rho̅13),1,28,6,16,\Delta(\bar{\rho}_{13}),,
145,F1^(1),1,28,10,8,F_{1}^{(1)},,
146,C1^(2),1,28,11,2,C_{1}^{(2)},,
147,A1^(2),1,28,12,2,A_{1}^{(2)},,
148,\Delta(\rho29),1,28,14,32,\Delta(\rho_{29}),,
149,F2,1,28,18,8,F_{2},,
150,C2^(1),1,28,19,2,C_{2}^{(1)},,
151,A2^(1),1,28,20,2,A_{2}^{(1)},,
152,\Delta(\sigma45),1,28,22,16,\Delta(\sigma_{45}),,
153,\Delta(\nu53),1,28,26,4,\Delta(\nu_{53}),,
154,C3,1,28,27,2,C_{3},,
155,A3,1,28,28,2,A_{3},,
156,\delta',1,29,6,4,\delta',,
157,֮\varepsilon',1,29,6,4,\widetilde{\varepsilon}',,
158,\delta'',1,29,7,8,\delta'',,
159,\Delta(\kappa̅21),1,29,10,8,\Delta(\bar{\kappa}_{21}),,
160,\Delta(EA2),1,29,10,2,\Delta(E A_{2}),,
161,\Delta(\nu*25),1,29,12,8,\Delta(\nu_{25}^{*}),,
162,L1,1,29,15,2,L_{1},,
163,P1,1,29,16,2,P_{1},,
164,\Delta(\iota61),1,29,30,,\Delta(\iota_{61}),,
165,\Delta(\xi13\sigma31),1,30,6,4,\Delta(\xi_{13}\sigma_{31}),,
166,D1^I,1,23,15,2,D_{1}^{I},,
167,\Delta(E A2\eta41),1,30,10,2,\Delta(E A_{2}\eta_{41}),,
168,\theta^VII,1,30,12,32,\theta^{VII},,
169,\theta^VI,1,30,14,64,\theta^{VI},,
170,\theta^V,1,30,15,64,\theta^{V},,
171,\theta^IV,1,30,16,128,\theta^{IV},,
172,\theta''',1,30,20,128,\theta''',,
173,\theta'',1,30,22,64,\theta'',,
174,\theta'_,0,30,23,64,\theta',,
175,\Delta(\sigma49),1,30,24,16,\Delta(\sigma_{49}),,
176,\Delta(\nu57),1,30,28,8,\Delta(\nu_{57}),,
177,\Delta(E \tau^IV),1,31,6,8,\Delta(E \tau^{IV}),,
178,\Delta(E A1\kappa25),1,31,6,2,\Delta(E A_{1}\kappa_{25}),,
179,\alpha3'',1,31,6,4,\alpha''_{3},,
180,\alpha3''',1,31,7,8,\alpha'''_{3},,
181,G1,1,24,14,8,G_{1},,
182,D1^(1),1,24,15,2,D_{1}^{(1)},,
183,\alpha3^IV,1,31,9,16,\alpha_{3}^{IV},,
184,\Delta(\sigma*21),1,31,10,8,\Delta(\sigma_{21}^{*}),,
185,\kappa*,0,31,10,4,\kappa^{*},,
186,\Delta(\kappa̅25),1,31,12,4,\Delta(\bar{\kappa}_{25}),,
187,\alpha3^V,1,31,13,32,\alpha_{3}^{V},,
188,\omega*,0,31,14,8,\omega^{*},,
189,"\rho3,",0,31,14,64,"\rho_{3,",,
190,D1^II,1,31,15,2,D_{1}^{II},,
191,\kappa*',1,31,15,2,\kappa^{*}{'},,
192,B1^II,1,31,16,2,B_{1}^{II},,
193,D2^I,1,31,23,2,D_{2}^{I},,
194,B2^I,1,31,24,2,B_{2}^{I},,
195,\Delta(\iota65),1,31,32,,\Delta(\iota_{65}),,
196,\alpha3',1,31,5,2,\alpha'_{3},,
197,B1^(1),1,24,16,2,B_{1}^{(1)},,
198,G0,1,16,6,8,G_{0},,
199,F1,1,20,10,8,F_{1},,
200,A1^I,1,19,12,2,A_{1}^{I},,
201,B1^I,1,23,16,2,B_{1}^{I},,
202,C1^I,1,19,11,2,C_{1}^{I},,
203,G0^(1),1,24,6,8,G_{0}^{(1)},,
204,\alpha0^IV,1,7,9,16,\alpha_{0}^{IV},,
205,\alpha0''',1,7,7,8,\alpha'''_{0},,
206,\alpha0'',1,7,6,4,\alpha''_{0},,
207,\alpha0',1,7,5,2,\alpha'_{0},,
208,\alpha1^IV,1,15,9,16,\alpha_{1}^{IV},,
209,\alpha1''',1,15,7,8,\alpha'''_{1},,
210,\alpha1'',1,15,6,4,\alpha''_{1},,
211,\alpha1',1,15,5,2,\alpha'_{1},,
212,\alpha2^IV,1,23,9,16,\alpha_{2}^{IV},,
213,\alpha2'',1,23,6,4,\alpha''_{2},,
214,\alpha2',1,23,5,2,\alpha'_{2},,
